Categorie;Subcategorie;Merk;Titel;Van-Prijs;Prijs;Levertijd;Omschrijving;Verzendkosten;EAN;Artikelcodefabrikant;Winkelproductcode
Verjaardagskado-Verjaardagscadeau;Kado voor haar;J-me;J-me Sleutelhouder Aluminium - Vrouw;;18.50;op werkdagen voor 22.00 uur besteld, volgende dag in huis;De sleutelhouder van J-me is een leuk accessoire voor in de hal!;1.95;5,06011E+12;sleutelhouder Hers;10825
Verjaardagskado-Verjaardagscadeau;Kado voor hem;J-me;J-me Sleutelhouder Aluminium - Man;;18.50;op werkdagen voor 22.00 uur besteld, volgende dag in huis;De sleutelhouder van J-me is een leuk accessoire voor in de hal!;1.95;5,06011E+12;sleutelhouder His;11473
Wijnen;Wijn accessoires;Menu;Menu Wijnthermometer;;53.65;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Houd de temperatuur van uw wijn in de gaten met deze handige wijnthermometer van Menu.;0;5,70926E+12;4657039;13116
Kadotips voor;60e Verjaardag;Menu;Menu Waterkaraf - 1,3 L;59.99;42.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Deze stijlvolle waterkaraf van Menu is een prachtige toevoeging op tafel tijdens een lunch en diner!;3.95;5,70926E+12;4661139;13117
Kado Gelegenheden;OP=OP;;Cursusboek: Medische informatie zoeken op Internet;;14.99;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Dit boek is een handleiding voor iedereen die via internet meer te weten wil komen over een bepaalde ziekte of aandoening.;1.95;9,78902E+12;902295000x;13972
Kado Gelegenheden;Hangmatten;;Hangmat Canvas - 200 x 80 cm;;34.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Hang deze luxe hangmat in je tuin en kom volledig tot rust!;3.95;0;19544706;16334
Kado Gelegenheden;OP=OP;;DVD: Earth;19.95;14.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Unieke weergave van onze planeet;1.95;8,71566E+12;1332236;16923
Kado Gelegenheden;OP=OP;;Boek: Vaderstad (Gesigneerd+CD Nina June);;19.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Autobiografische roman van Patrick van Rhijn, vervolg op de bestseller Weg van Lila;0;9,78906E+12;978 90 6112 7604;19027
Producten;Kerstkado voor volwassenen;;Peper- en Zoutmolen - Zilver;24.95;22.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Deze mooie peper- en zoutmolen heeft een strak design is een lust voor het oog!;1.95;0;11211500;19122
Belevenissen;Vliegen;Nationale Geschenkbon;Kadobon: Vroege Vogel Ballonvaart (1 persoon);;135.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Geniet van de magische sfeer die ontstaat wanneer u de zon tegemoet vliegt. Met deze vroege vogel ballonvaart wordt u droom werkelijkheid.;0;0;vroegevogelvaart1;19174
Producten;;Nationale Geschenkbon;Kadobon: Slipcursus 5 uur incl. lunch en certificaat;169.00;135.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Leer met persoonlijke begeleiding hoe je een slip kunt voorkomen en corrigeren;0;0;slipcurcus 5uur;19194
Producten;;Nationale Geschenkbon;Kadobon: Ultieme Race Ervaring;;395.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Een hele dag op het circuit van zandvoort racen in o.a. een Aston Martin V8 en een Lamborghini Gallardo geheel verzorgd inclusief lunch.;0;0;een dag ultiem racen;19216
Verjaardagskado-Verjaardagscadeau;Kado voor haar;Nationale Geschenkbon;Kadobon: Bonbons workshop;39.50;34.50;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Krijg les in bonbons maken en creëer uw eigen bonbons naar uw eigen smaak.;0;0;BonBon;19265
Belevenissen;Vliegen;Nationale Geschenkbon;Kadobon: 45 minuten Flightsimulator sessie in Boeing 737 voor 2 personen;;185.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Een half uur vliegen in een 2-persoons cockpit van een flightsimulator Boeing 737 met beeldscherm onder begeleiding van een professionele instructeur.;0;0;30minflightsimulator737;19928
Belevenissen;Fijnproevers;Nationale Geschenkbon;Kadobon: Diner Culinair in Leiden (2 personen);;89.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Met twee personen heerlijk dineren in een van Leidens mooiste restaurants;0;0;PrentDiner1;20333
Huisdier Gadgets;Klokken;Karlsson;Karlsson Station Stationsklok 38 cm - Wit;159.00;105.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Deze morderne stationsklok van Karlsson is de eyecatcher in ieder interieur.;0;8,7143E+12;KA850551;10785
Huisdier Gadgets;Overige Dieren;Heads Up;Heads Up Koekoeksklok - 'Moocoo';;54.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;<p>Originele versie van de koekoeksklok met&nbsp een koe!&nbsp </p>  ;0;4,26036E+12;FC101;11740
Origineel kado;Zomerkado;;Strand Handdoek - Reserved;;16.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;<p>Beach Towel, reserveer je plaats op het strand</p>;1.95;5,06013E+12;GH-91-887;12656
Kado Gelegenheden;Fotoklok;pt, (present time);pt, Family Time Fotoklok Zilver - 40 cm;;40.99;op werkdagen voor 22.00 uur besteld, volgende dag in huis;De ideale combinatie! Geniet elke uur van een leuke foto wanneer je wilt weten hoe laat het is.;3.95;8,7143E+12;HK778;13854
Verjaardagskado-Verjaardagscadeau;Verjaardagskado voor Meisje;Gizzy's;Regenboog projectielamp;17.95;14.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Elke dag een regenboog in je kamer;1.95;8,71818E+12;1146;17116
Producten;Barbie;Hanna Montana;Hannah Montana: Ombouw Podium;29.95;14.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;;1.95;27084643237;N1209;17564
Verjaardagskado-Verjaardagscadeau;Verjaardagskado voor Tiener;Koelkastpoezie;Koelkastpoezie Gespreksstarter - Party;;19.90;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Gespreksstarter is het cadeau bij uitstek voor elke gelegenheid!;1.95;7,33167E+12;gesprekspartner party;18854
Producten;Tuinfakkels;Menu;Menu Lighthouse Olielamp Wit - 220;;84.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Deze prachtige Lighthouse olielamp van Menu is geïnspireerd op vuurtorens!;0;5,70926E+12;5306039;18896
Leuke kado's;Valentijn;Nationale Geschenkbon;Kadobon: Candle Light Cruise 2 personen;70.00;75.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Romantische cruise door prachtig Amsterdam;0;0;Candlelight Cruise 2 Personen;18918
Kado Gelegenheden;OP=OP;Logic 3;Logic3 Deluxe Pack Nintendo Wii;39.95;24.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Het Logic3 Wii Deluxe Pack bestaat uit verschillende handige accessoires voor uw Nintendo Wii.;1.95;6,63453E+11;66843;19061
Belevenissen;Adrenaline;Nationale Geschenkbon;Kadobon: Tandem parachutesprong voor 1 persoon.;;225.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Ervaar de onvergetelijke sensatie van een parachutesprong met een tandemsprong!;0;0;tandemsprong;19242
Producten;;Nationale Geschenkbon;Kadobon: Skidcar: Slipcursus op acht wielen 5 uur incl. lunch;215.00;155.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;De slipcursus met skidcar  is zo effectief bij het verbeteren van rijvaardigheden, dat de skidcar de eerste keuze is van politiekorpsen en trainingscentra over de hele wereld.;0;0;slipcurcus/skidcar 5uur;19351
Belevenissen;Rijden;Nationale Geschenkbon;Kadobon: Carver arrangement (1 persoon);;163.75;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Cadeaubon voor 3 uur CARVER arrangement: Carverrijden, Driften met Quad en Slipcursus;0;0;Carverarrangement;19434
Belevenissen;Foto & Kunst;Nationale Geschenkbon;Kadobon: Geef een naam muurschildering kado;;250.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Laat een betonnen muur door echte graffitiartiesten bespuiten met een naam en creëer je eigen uitzicht.;0;0;GrafWall1;20313
Leuke kado's;Kerst;Nationale Geschenkbon;Kadobon: Indoor Skydive - 3 sessies - daluren;79.50;74.50;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Een unieke ervaring van een vrijeval indoor!;0;0;3 sessies dal;20481
Verjaardagskado-Verjaardagscadeau;Kado voor haar;Koelkastpoezie;Koelkastpoezie Koelkastmagneten -  Liefde;21.95;18.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Met de woord- en lettermagneten in dit Koelkastpoezie pakket laat je liefdevolle teksten achter op de koelkast!;1.95;7,33167E+12;600025;10801
Leuke kado's;Boekensteun;Kikkerland;Kikkerland Boekensteun - Leaning men;34.95;29.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Met deze boekensteun van Kikkerland zijn je boeken altijd netjes opgeruimd!;1.95;6,12615E+11;KK BE01L;11729
Verjaardagskado-Verjaardagscadeau;Kado voor hem;;Prullenbak - Basketbal met Propjes;19.95;14.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Gooi uw propjes op een leuke manier in de prullenbak met deze aanmoedigende basket.;1.95;8,43031E+12;RC22222;12256
Kado Gelegenheden;OP=OP;;Cursusboek Weblogging;;14.99;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Een prima boek dat helder en op een laagdrempelige manier uitlegt wat webloggen inhoudt.;1.95;9,78902E+12;902299239x;13968
Trouwen;Kerstkado voor volwassenen;Menu;Menu Wijn Decanteerkaraf;85.00;84.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Elegant uw favoriete wijn uitschenken doet u met de mooi vormgegeven decanteerkaraf van Menu.;0;5,70926E+12;4659039;14828
Origineel kado;Zomerkado;;Crime Scene Handdoek;18.95;16.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Handdoek neerleggen, handen omhoog!;1.95;5,06013E+12;GH91-886;15626
Kado Gelegenheden;Wonen / Lifestyle;Gift Republic;Gift Republic Grow It Kweekset - Vleesetende Plant ;;15.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Kweek je eigen vleesetende plant met deze Grow It geschenkdoos van Gift Republic!;1.95;5,06013E+12;Carnivorous Plants;18876
Wooncadeaus;;Menu;Menu Waterkaraf - 1 L;;39.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Deze prachtige waterkaraf van Menu is een waardevolle toevoeging op tafel!;3.95;5,70926E+12;4665539;18902
Kado Gelegenheden;Overige;;Wensballon - Vliegende Lampion (2 stuks) (ACTIE);21.00;15.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Eerste officieel goedgekeurde Wensballon: Veiliger en milieuvriendelijk!;1.95;;;19095
Belevenissen;Vliegen;Nationale Geschenkbon;Kadobon: Proef- vliegles 20 minuten (1 persoon);117.00;99.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Altijd al een keer zelf een vliegtuig willen besturen? Dit is uw kans om onder professionele begeleiding te ervaren hoe het is om piloot te zijn!;0;0;proefvliegles20;19153
Verjaardagskado-Verjaardagscadeau;Kado voor hem;Umbra;Umbra Conceal Boekenplank 18 x 17 cm - Zilver;19.95;17.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Handige 'Onzichtbare' Coceal boekenplank van Umbra!;1.95;28295171953;330633-560;19254
Leuke kado's;Foto accessoires;Umbra;Umbra Huddle Fotolijst 69 x 71 cm - Espresso;59.95;52.90;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Een prachtige Huddle fotolijst van Umbra voor al je favoriete foto's van familie en vrienden!;0;28295160483;316481-213;19298
Belevenissen;Workshops;Nationale Geschenkbon;Kadobon: Workshop Cocktails maken;45.00;35.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;U bent zelf de bartender! Met de juiste technieken en een mooie decoratie serveert u de perfecte cocktail, zodat u hem zo snel mogelijk zelf kunt proeven!!;0;0;dazcocktail1;19772
Kado Gelegenheden;OP=OP;;Daarom! - Suzanne Rethans;;15.95;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Daarom! en andere diepzinnige antwoorden op kindervragen;1.95;9,78908E+12;9,78908E+12;20082
Belevenissen;Erop uit;Nationale Geschenkbon;Kadobon: Boom Chicago + 2-gangen menu voor 2 personen;;99.00;op werkdagen voor 22.00 uur besteld, volgende dag in huis;Boom Chicago’s shows zijn een spektakel van snelle improvisaties, video, muziek, internet en scherpe sketches die in hoog tempo met elkaar worden afgewisseld.;0;0;Humor en Diner;20575
Huisdier Gadgets;Klokken;Karlsson;Karlsson Book Boekenklok - Zwart;29.99;20.99;op werkdagen voor 22.00 uur besteld, volgende dag in huis;De Book is een originele, creatieve en stijlvolle klok van Karlsson.;1.95;8,7143E+12;KA4283;11617
